feature,coefficient,abs_coefficient
Saving accounts_little,0.7386011473281294,0.7386011473281294
Purpose_education,0.7149050913734649,0.7149050913734649
Saving accounts_rich,-0.5400016920080662,0.5400016920080662
Duration,0.534200001393575,0.534200001393575
Purpose_radio/TV,-0.4993501209708957,0.4993501209708957
Credit History,-0.48205889956779857,0.48205889956779857
Purpose_repairs,0.46670597163875843,0.46670597163875843
Saving accounts_missing,-0.44431355292070757,0.44431355292070757
Saving accounts_moderate,0.4440138437640163,0.4440138437640163
Purpose_business,-0.3525553401077373,0.3525553401077373
Housing_own,-0.2852143516550622,0.2852143516550622
Saving accounts_quite rich,-0.26478503614488097,0.26478503614488097
Purpose_vacation/others,-0.21649592887567154,0.21649592887567154
Gender_male,-0.18958802488105128,0.18958802488105128
Housing_rent,0.17690318031794214,0.17690318031794214
Gender_female,0.12310273489954247,0.12310273489954247
Purpose_domestic appliances,-0.10149107535589048,0.10149107535589048
Purpose_furniture/equipment,-0.05123455319369649,0.05123455319369649
Housing_free,0.04182588135561246,0.04182588135561246
Job,-0.03345483396377725,0.03345483396377725
Age,-0.027752513883099808,0.027752513883099808
Purpose_car,-0.026969334489843583,0.026969334489843583
Credit amount,-0.009772144725564034,0.009772144725564034
