feature,importance
Credit amount,0.20553577410578397
Duration,0.16583537813717317
Age,0.16186524416443665
Credit History,0.10483656742434368
Saving accounts_little,0.04922394306318495
Job,0.04376892367069879
Purpose_car,0.026998040365846684
Purpose_radio/TV,0.026979202348968164
Saving accounts_missing,0.026451987676238155
Housing_own,0.025919740544187376
Gender_male,0.021655578362629328
Gender_female,0.021438286614328932
Purpose_furniture/equipment,0.018284781494628057
Purpose_education,0.01635432847752422
Saving accounts_moderate,0.014626052492461827
Housing_rent,0.01429793752301176
Saving accounts_rich,0.013430731936835099
Purpose_business,0.012903264007423079
Housing_free,0.01268140808976813
Saving accounts_quite rich,0.011004299101189434
Purpose_repairs,0.004280214932829357
Purpose_domestic appliances,0.0011489439397099727
Purpose_vacation/others,0.0004793715267991297
