feature,importance
Saving accounts_little,0.10661438
Credit History,0.07883789
Duration,0.060327865
Saving accounts_missing,0.058829796
Saving accounts_rich,0.05305849
Saving accounts_moderate,0.051734854
Purpose_radio/TV,0.05171951
Housing_own,0.04806934
Purpose_education,0.046852387
Credit amount,0.046602
Gender_female,0.04372634
Age,0.043708064
Purpose_car,0.043003913
Job,0.039018914
Purpose_business,0.03683906
Housing_rent,0.03483307
Purpose_furniture/equipment,0.034201186
Saving accounts_quite rich,0.033680774
Housing_free,0.032658093
Purpose_repairs,0.02824399
Gender_male,0.027440056
Purpose_domestic appliances,0.0
Purpose_vacation/others,0.0
